Num;Mot;Freq100;NbCar;Phono;NbPhon;Syll;NbSyll;Struc;Gram;Genre;Schwa;Gemin
1;à;1765456;1;a;1;a;1;V;PR;;0;0
2;abaisser;1190;8;abésé;5;a-bé-sé;3;V-CV-CV;VB;;0;0
3;abandon;238;7;abâdô;5;a-bâ-dô;3;V-CV-CV;NO;m;0;0
4;abandonner;17138;10;abâdoné;7;a-bâ-do-né;4;V-CV-CV-CV;VB;;0;0
5;abasourdir;714;10;abazuRdiR;9;a-ba-zuR-diR;4;V-CV-CVC-CVC;VB;;0;0
6;abat-jour;714;9;abajuR;6;a-ba-juR;3;VCVCVC;NO;m;0;0
7;abattage;238;8;abataj;6;a-ba-taj;3;V-CV-CVC;NO;m;1;1
8;abattant;238;8;abatâ;5;a-ba-tâ;3;V-CV-CV;NO;m;0;1
9;abattoir;238;8;abatüaR;7;a-ba-tüaR;3;V-CV-CYVC;NO;m;0;1
10;abattre;4760;7;abatR;5;a-batR;3;V-CVCC;VB;;1;1
11;abattu;2142;6;abaty;5;a-ba-ty;3;V-CV-CV;AJ;m;0;1
12;abbé;476;4;abé;3;a-bé;2;V-CV;NO;m;0;1
13;abécédaire;238;10;abésédèR;8;a-bé-sé-dèR;4;V-CV-CV-CVC;NO;m;1;0
14;abeille;4522;7;abèï;4;a-bèï;2;V-CVY;NO;f;1;1
15;abîme;476;5;abim;4;a-bim;2;V-CVC;NO;m;1;0
16;abîmer;2142;6;abimé;5;a-bi-mé;3;V-CV-CV;VB;;0;0
17;aboiement;1428;9;abüamâ;6;a-büa-mâ;3;V-CYV-CV;NO;m;0;0
18;abominable;952;10;abominabl;9;a-bo-mi-nabl;4;V-CV-CV-CVCC;AJ;h;1;0
19;abondamment;714;11;abôdamâ;7;a-bô-da-mâ;4;V-CV-CV-CV;AV;;0;0
20;abondance;476;9;abôdâs;6;a-bô-dâs;3;V-CV-CVC;NO;f;1;0
21;abondant;1190;8;abôdâ;5;a-bô-dâ;3;V-CV-CV;AJ;m;0;0
22;abord;32133;5;aboR;4;a-boR;2;V-CVC;NO;m;0;0
23;abord;0;5;aboR;4;a-boR;2;V-CVC;AV;;0;0
24;aborder;2618;7;aboRdé;6;a-boR-dé;3;V-CVC-CV;VB;;0;0
25;aboutir;238;7;abutiR;6;a-bu-tiR;3;V-CV-CVC;VB;;0;0
26;aboyer;5236;6;abüaïé;6;a-büa-ïé;3;V-CYV-YV;VB;;0;0
27;abreuver;238;8;abRevé;6;a-bRe-vé;3;V-CCV-CV;VB;;0;0
28;abreuvoir;238;9;abRevüaR;8;a-bRe-vüaR;3;V-CCV-CYVC;NO;m;0;0
29;abri;7854;4;abRi;4;a-bRi;2;V-CCV;NO;m;0;0
30;abricot;714;7;abRikO;6;a-bRi-ko;3;V-CCV-CV;NO;m;0;0
